episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,total_time_loss,avg_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,2024,6500,1800,300,0.7232,5913,375912.0000,63.5738,120765.3800,20.4237,5521595.6092,870.0000,0.1471,5913,13.3063,81.5845,4.4280,58.5465,115.6275,32.7508,4961.0000,655.0000,297.0000,8596,6012,0.6994,0,4815.2750,12.6008,15.1974,5449.5750,11.8151,14.5999,5430.6000,12.9198,17.4643,15.7253,11.0000
1,2025,5500,1400,300,0.9724,5985,377942.0000,63.1482,119674.2200,19.9957,5262880.1616,779.0000,0.1302,5985,13.1626,78.2285,4.2677,58.3932,112.3886,32.5000,5020.0000,669.0000,296.0000,7197,6099,0.8474,0,4880.4000,12.8193,15.0407,5522.5750,12.0529,14.4648,5494.5750,13.0714,17.5133,15.4603,5.0000
