episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
12,54,5500,2000,500,0.7193,6064,373626.0000,61.6138,58.0000,19.2277,116381.1600,19.1921,12.7800,20.8658,4873334.8344,15116.0000,2.4927,6064,1787230442.3952,570040786.1959,726595.3652,13.0317,67.7015,4.7999,58.3696,100.9828,32.9093,4810.0000,758.0000,496.0000,8002,6168,0.7708,2,4709.0000,12.0603,15.7087,5446.0000,12.2963,14.7657,5430.0000,12.9768,17.0667,15.1583,0.0000
13,55,6000,2000,300,0.5398,5950,382130.0000,64.2235,59.0000,22.3262,126344.8300,21.2344,13.7300,24.3987,6224293.4321,17857.0000,3.0012,5950,1815844413.3505,579167556.5366,739225.8673,14.1703,80.2522,4.3924,59.3539,113.7250,32.4242,4973.0000,680.0000,297.0000,8300,6066,0.7308,3,4880.0000,13.1934,15.2901,5538.0000,13.0072,15.0678,5524.0000,13.3639,17.2526,15.8772,320.0000
14,56,5500,1500,300,0.9827,5932,373562.0000,62.9740,58.0000,20.0725,117847.1000,19.8663,12.8000,22.3840,5312888.3604,16788.0000,2.8301,5932,1792787091.2748,571813208.8830,728827.6378,12.9572,75.3449,4.3319,58.2803,108.9914,32.8485,4937.0000,698.0000,297.0000,7299,6039,0.8274,7,4839.0000,12.6277,15.4664,5497.0000,12.4151,13.1210,5496.0000,13.0617,17.3001,15.6617,80.0000
15,57,6500,1400,300,0.5164,5948,384508.0000,64.6449,60.0000,20.9180,128034.2500,21.5256,14.5800,23.1233,5935808.4687,16080.0000,2.7034,5948,1820366646.8754,580609760.5217,741336.5200,14.6778,79.7476,4.5896,59.9743,113.3214,32.8081,4979.0000,672.0000,297.0000,8200,6060,0.7390,5,4885.0000,13.1365,13.7141,5541.0000,12.6853,14.8084,5508.0000,13.3730,18.1009,15.7800,160.0000
16,58,6500,2000,500,0.4206,6040,383640.0000,63.5166,60.0000,20.4242,126559.2000,20.9535,14.5300,21.9434,5559725.0678,15078.0000,2.4964,6040,1812476768.2637,578093188.2548,738221.7715,14.9587,73.0997,5.0853,60.3192,106.4724,33.4677,4837.0000,707.0000,496.0000,8998,6145,0.6829,8,4725.0000,12.7940,15.7621,5428.0000,12.5071,14.0427,5403.0000,13.1123,16.4313,15.4036,40.0000
17,59,6000,1800,500,0.5353,6038,377261.0000,62.4811,59.0000,19.7832,121268.5100,20.0842,13.5600,21.4807,5221173.9875,15641.0000,2.5904,6038,1798053968.2573,573493044.3324,731738.8355,13.8700,71.4475,4.8754,59.0681,104.9150,33.1798,4814.0000,729.0000,495.0000,8303,6147,0.7403,4,4722.0000,12.4514,15.2352,5435.0000,12.5312,13.7578,5408.0000,12.9170,18.4131,15.1842,40.0000
18,60,6500,1900,100,0.3921,5795,388669.0000,67.0697,60.0000,23.6185,134968.5100,23.2905,15.4800,26.4603,7200142.8755,18087.0000,3.1211,5795,1826083622.7133,582433417.7900,744009.9001,15.3963,91.0053,4.7392,60.7075,124.6672,33.2121,5077.0000,619.0000,99.0000,8499,5897,0.6938,6,4961.0000,13.5493,14.7393,5588.0000,13.1598,13.4249,5552.0000,13.7183,16.9492,16.4017,160.0000
19,61,5500,1800,100,0.6292,5816,387985.0000,66.7099,60.0000,23.9326,133245.8900,22.9102,15.0250,26.5495,7151533.4101,19790.0000,3.4027,5816,1836480061.8315,585749380.2288,748682.2822,15.0535,89.2222,4.6321,60.4044,122.9524,32.8081,5087.0000,630.0000,99.0000,7402,5925,0.8005,3,4975.0000,13.7619,14.5334,5612.0000,13.1910,14.3207,5586.0000,13.5060,18.0508,16.5514,320.0000
20,62,5000,2000,500,0.1783,6026,382969.0000,63.5528,60.0000,21.2759,126810.6100,21.0439,14.4100,22.7764,5794158.3447,15478.0000,2.5685,6026,1808709716.4699,576891750.9105,736630.9563,14.8266,73.4120,5.1618,60.1729,106.8044,33.3421,4811.0000,721.0000,494.0000,7504,6142,0.8185,1,4725.0000,12.6604,14.4472,5424.0000,12.9637,13.9490,5392.0000,13.1094,17.6788,15.3347,200.0000
21,63,4500,1900,500,0.6090,5992,337703.0000,56.3590,55.0000,12.9018,89315.5100,14.9058,11.0400,13.5641,2433567.2297,6749.0000,1.1263,5992,1657907389.3531,528792251.0084,670960.1369,11.0669,35.8994,4.0731,56.1090,68.7326,31.9980,4430.0000,1066.0000,496.0000,6899,6087,0.8823,4,4346.0000,10.6683,15.1105,5364.0000,12.4833,14.2602,5349.0000,12.8205,17.8670,11.3342,0.0000
22,64,6000,1700,500,0.6499,6026,373313.0000,61.9504,58.0000,19.4813,117465.2700,19.4931,12.9750,21.0910,4969861.5321,15357.0000,2.5485,6026,1780895316.4485,568020213.0224,724220.9867,13.3225,70.1762,4.8439,58.5956,103.7445,33.0867,4802.0000,728.0000,496.0000,8203,6127,0.7469,5,4717.0000,12.2335,14.5423,5411.0000,12.2746,15.4605,5396.0000,12.8973,17.4153,15.1175,40.0000
23,65,6500,1500,300,0.2688,5899,385633.0000,65.3726,60.0000,22.8901,131312.5500,22.2601,15.0800,24.9628,6598335.2701,17023.0000,2.8857,5899,1821630999.2330,581013124.1813,742472.1806,15.2820,82.1521,4.6421,60.6069,115.5008,32.8154,4938.0000,663.0000,298.0000,8302,6001,0.7228,6,4829.0000,13.2298,14.5261,5480.0000,12.6029,14.2497,5452.0000,13.2458,17.1563,15.9939,320.0000
24,66,6500,1800,300,0.1354,5883,389108.0000,66.1411,60.0000,24.1297,135776.8000,23.0795,15.5000,26.1288,7149401.3340,18339.0000,3.1173,5883,1826851154.3303,582678260.4631,745006.7915,15.8815,87.2662,4.6352,61.0960,120.6437,32.7104,4946.0000,640.0000,297.0000,8595,5988,0.6967,6,4848.0000,13.3058,13.8340,5454.0000,12.9750,15.4660,5446.0000,13.3490,17.1858,16.1789,120.0000
25,67,5000,1400,100,0.0443,5639,378647.0000,67.1479,60.0000,25.5764,133112.2200,23.6056,14.8700,28.1906,7622787.8940,19037.0000,3.3760,5639,1782304607.1091,568470192.8382,726781.5734,15.4181,91.9115,4.2731,60.5498,125.3754,31.7071,4922.0000,618.0000,99.0000,6500,5743,0.8835,3,4834.0000,13.5067,14.7694,5428.0000,12.8850,12.7959,5382.0000,13.2523,18.0103,16.6425,400.0000
26,68,6500,1800,500,0.3640,6002,379850.0000,63.2872,59.0000,21.1811,124162.3900,20.6868,13.8400,22.6674,5651898.0967,15283.0000,2.5463,6002,1795654636.7974,572727823.1074,731152.9344,14.3794,73.4469,5.1811,59.8127,107.0292,33.4545,4789.0000,718.0000,495.0000,8801,6112,0.6945,5,4675.0000,12.4350,14.9495,5404.0000,12.5760,13.4275,5373.0000,13.1032,16.9576,15.4483,80.0000
27,69,5500,1900,300,0.8240,5978,378158.0000,63.2583,58.0000,20.6890,120693.9400,20.1897,13.1450,22.8895,5568307.3402,16540.0000,2.7668,5978,1809427477.6741,577120727.7791,735742.5073,13.3225,75.8601,4.3906,58.5643,109.6438,32.9128,4981.0000,699.0000,298.0000,7702,6082,0.7897,4,4878.0000,12.8955,15.6317,5572.0000,12.8040,14.3507,5554.0000,13.2184,17.4846,15.7550,120.0000
28,70,6000,1800,100,0.4019,5817,389146.0000,66.8981,60.0000,24.0245,134598.4500,23.1388,14.9100,26.6134,7233748.8087,18513.0000,3.1826,5817,1829362464.8723,583479312.2362,745291.2945,15.2329,89.4703,4.3436,60.5081,123.3738,33.3737,5084.0000,634.0000,99.0000,7901,5922,0.7495,4,4988.0000,13.9071,15.0488,5607.0000,13.3806,12.6786,5569.0000,13.7082,17.2039,16.4956,320.0000
29,71,4500,1700,100,0.6879,5619,324354.0000,57.7245,55.0000,11.8657,86628.3000,15.4170,10.9800,13.9179,2423806.5794,7495.0000,1.3339,5619,1603718506.0326,511508739.8429,648647.8262,10.7790,35.4466,3.4255,55.7817,68.0635,31.3232,4434.0000,1086.0000,99.0000,6302,5705,0.9053,7,4346.0000,10.4545,16.8757,5387.0000,13.1280,13.0732,5389.0000,12.9635,16.5558,10.9908,40.0000
30,72,5500,2000,300,0.3460,5921,383747.0000,64.8112,60.0000,23.0092,129361.3200,21.8479,14.4200,25.0564,6542984.8522,17104.0000,2.8887,5921,1813189744.7516,578320815.1973,738326.0624,14.7643,80.9865,4.6194,59.9345,114.4477,32.6208,4944.0000,679.0000,298.0000,7800,6023,0.7722,2,4838.0000,13.0973,15.0170,5516.0000,12.7844,13.8279,5466.0000,13.3086,17.1830,16.1017,280.0000
