episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
12,54,5500,2000,500,0.7193,6097,428214.0000,70.2336,61.0000,31.1147,170615.7300,27.9836,16.6800,31.5248,10832731.3265,24555.0000,4.0274,6097,1913398282.4263,610283954.2314,784088.1163,23.0039,71.1393,4.6598,68.3298,103.9438,32.7814,4784.0000,819.0000,494.0000,7997,6221,0.7779,7,4647.9250,17.3719,13.4849,5446.0000,16.9543,13.4772,5427.6250,13.5294,16.9387,14.7417,864.0000
13,55,6000,2000,300,0.5398,5949,449334.0000,75.5310,63.0000,34.0523,194846.3800,32.7528,18.6400,34.6759,13533747.9034,26244.0000,4.4115,5949,1947360508.1593,621116949.0372,799722.7752,27.7870,74.0131,4.9184,73.0452,106.9529,33.1010,4866.0000,786.0000,297.0000,8295,6080,0.7330,6,4723.3500,18.7288,13.4768,5483.9000,16.7060,13.2343,5450.5500,13.8855,16.8310,14.8028,761.0000
14,56,5500,1500,300,0.9827,6018,440074.0000,73.1263,62.0000,31.5497,181942.5500,30.2331,17.8650,32.3059,11780442.9299,24532.0000,4.0764,6018,1937148527.8764,617859393.4297,793983.9905,24.8971,72.6492,4.3925,70.2711,105.6137,32.9259,4921.0000,800.0000,297.0000,7296,6139,0.8414,2,4784.6000,17.6212,13.5211,5556.0750,16.9482,13.4620,5526.5500,13.6979,17.1634,14.7278,792.0000
15,57,6500,1400,300,0.5164,5906,450640.0000,76.3021,65.0000,31.1302,197642.4200,33.4647,20.8000,31.7097,12551556.5716,22636.0000,3.8327,5906,1945935900.1056,620662490.3321,799501.7803,28.6911,73.6747,4.8710,74.0489,106.5791,32.9832,4825.0000,784.0000,297.0000,8197,6039,0.7367,8,4693.7000,18.5512,13.0072,5443.7500,16.8456,13.1458,5436.5750,13.8653,16.5514,14.5169,560.0000
16,58,6500,2000,500,0.4206,6081,432840.0000,71.1791,62.0000,31.0484,176272.2100,28.9874,17.7200,31.4687,11130570.3185,21094.0000,3.4688,6081,1906988893.9267,608239694.0892,781257.0633,24.4736,68.1792,5.3661,69.7651,101.0545,33.7126,4743.0000,844.0000,494.0000,8996,6194,0.6885,3,4595.7750,16.8716,13.3934,5425.1000,16.2051,13.4413,5376.6000,13.3712,16.9828,14.3058,677.0000
17,59,6000,1800,500,0.5353,6072,427948.0000,70.4789,61.0000,29.9943,171954.0000,28.3192,16.8300,30.3858,10474913.9018,21352.0000,3.5165,6072,1907586975.4963,608430417.9284,781778.2171,23.9419,67.4427,5.1352,69.1835,100.2279,33.3333,4752.0000,825.0000,495.0000,8297,6177,0.7445,4,4608.6750,17.2143,13.7529,5412.4750,16.1619,13.5026,5399.4250,13.4470,16.8429,14.5003,759.0000
18,60,6500,1900,100,0.3921,5762,448997.0000,77.9238,64.0000,33.3050,198024.7000,34.3674,19.6800,34.8290,13794022.2952,25659.0000,4.4531,5762,1939389269.6880,618574589.3484,796307.7083,27.5825,87.9463,4.8042,72.8779,121.0891,32.9798,4978.0000,685.0000,99.0000,8497,5900,0.6944,2,4830.1750,19.1121,12.9654,5490.5000,17.1462,13.1874,5465.5750,14.0150,16.4588,16.1714,899.0000
19,61,5500,1800,100,0.6292,5761,482482.0000,83.7497,72.0000,35.2891,231784.7000,40.2334,27.0000,36.2242,16883723.6850,25699.0000,4.4609,5761,2002508613.2630,638707468.0093,825270.0447,34.9693,79.8440,5.4156,80.3546,113.0594,33.1313,4921.0000,741.0000,99.0000,7397,5899,0.7975,6,4772.4000,20.4238,12.6245,5493.9500,17.7201,13.1861,5464.6250,13.7129,16.9554,15.4231,729.0000
20,62,5000,2000,500,0.1783,6008,448487.0000,74.6483,63.0000,33.9167,194521.0000,32.3770,18.7600,34.1999,13324005.1662,24692.0000,4.1099,6008,1938690682.5736,618351688.3877,796436.4223,28.0347,74.2432,5.4529,73.4012,107.0918,33.5992,4708.0000,806.0000,494.0000,7498,6108,0.8146,0,4575.5500,17.8729,13.1705,5347.2500,16.5538,13.2100,5321.4750,13.6464,16.3729,14.7342,785.0000
21,63,4500,1900,500,0.6090,5963,373585.0000,62.6505,57.0000,24.3998,126953.6500,21.2902,12.9700,24.6598,6328395.2065,17377.0000,2.9141,5963,1742563137.7768,555794873.0314,710073.8601,16.7194,48.2063,4.1261,61.7647,80.6128,31.9819,4403.0000,1064.0000,496.0000,6896,6086,0.8825,1,4282.3500,13.4287,14.4466,5300.4000,16.2225,13.4622,5287.4500,13.1499,16.8304,11.8478,485.0000
22,64,6000,1700,500,0.6499,6100,424045.0000,69.5156,62.0000,27.7916,166458.5500,27.2883,17.2700,28.2990,9426652.4609,21788.0000,3.5718,6100,1903345035.5064,607077277.9787,779194.9626,22.5297,67.5057,5.0499,67.8268,100.4946,33.2596,4770.0000,837.0000,493.0000,8198,6220,0.7587,6,4634.3000,16.7043,13.5705,5436.6750,16.6511,13.2543,5406.4500,13.3901,16.8347,14.2144,634.0000
23,65,6500,1500,300,0.2688,5912,424967.0000,71.8821,63.0000,31.9148,171791.1000,29.0580,18.0050,32.8921,11386955.6054,22977.0000,3.8865,5912,1895906536.7301,604704799.2900,776916.0372,23.3772,72.2606,4.9502,68.7724,105.0501,33.0774,4816.0000,799.0000,297.0000,8299,6073,0.7318,0,4693.1000,16.9524,13.2209,5441.0750,16.5932,13.3794,5430.6000,13.7210,16.6688,14.6472,797.0000
24,66,6500,1800,300,0.1354,5821,453865.0000,77.9703,66.0000,32.2119,204537.0800,35.1378,22.1300,33.0344,13538191.8374,26190.0000,4.4992,5821,1945404635.1084,620493306.7591,800390.5053,29.6641,83.2449,5.2476,74.9061,116.2151,33.4276,4794.0000,730.0000,297.0000,8593,5932,0.6903,4,4655.1000,18.5192,12.8841,5351.4500,16.9535,13.1229,5328.5750,13.5046,16.4757,15.4517,761.0000
25,67,5000,1400,100,0.0443,5632,464053.0000,82.3958,69.0000,34.4933,219438.5200,38.9628,24.3600,35.6964,15725152.2208,23748.0000,4.2166,5632,1947335339.0722,621109536.2827,802133.3800,32.7808,86.1887,5.2202,78.0569,119.2518,32.3636,4830.0000,703.0000,99.0000,6499,5776,0.8888,6,4710.9750,19.5124,12.6343,5373.2250,16.6425,12.9719,5351.4250,13.9113,16.1365,15.5403,549.0000
26,68,6500,1800,500,0.3640,6060,429599.0000,70.8909,62.0000,32.0019,172603.5500,28.4824,17.2100,32.6529,11376351.4009,26292.0000,4.3386,6060,1910869736.9594,609477522.3690,783012.4627,22.8930,76.8075,5.3495,68.3351,109.7959,33.4676,4777.0000,789.0000,494.0000,8796,6183,0.7029,1,4651.2250,16.8456,13.5205,5406.4500,17.0998,13.3402,5378.4250,13.6683,16.6076,15.1011,991.0000
27,69,5500,1900,300,0.8240,5961,439390.0000,73.7108,61.0000,32.5133,183628.5200,30.8050,17.2000,33.4156,12311625.1626,26631.0000,4.4675,5961,1930945423.1718,615881133.1527,791707.8313,25.2878,77.1003,4.6580,70.5455,110.3639,33.1212,4911.0000,753.0000,297.0000,7698,6069,0.7884,1,4775.4250,18.3744,13.4916,5500.1000,16.8366,13.3598,5478.4500,13.6710,16.8211,15.2136,713.0000
28,70,6000,1800,100,0.4019,5739,458156.0000,79.8320,66.0000,34.8739,207762.3400,36.2018,21.8900,36.1466,15018496.5250,23075.0000,4.0207,5739,1954851272.7890,623506179.5302,803656.3024,29.5912,88.4847,5.3129,74.9253,121.9460,34.0202,4955.0000,685.0000,99.0000,7898,5886,0.7453,4,4826.8000,18.8223,12.9035,5463.3500,16.6033,12.9910,5451.5000,14.0740,16.5522,16.2353,750.0000
29,71,4500,1700,100,0.6879,5523,360811.0000,65.3288,57.0000,23.6752,126788.8300,22.9565,13.6300,25.1675,6408286.5735,18341.0000,3.3208,5523,1685495562.5911,537593239.1664,687094.5481,16.8570,52.0760,3.5243,61.7813,84.5231,31.3535,4430.0000,994.0000,99.0000,6297,5613,0.8914,5,4284.5000,14.1113,14.1026,5258.1000,16.2000,13.3140,5244.3750,12.9068,16.9179,12.7400,588.0000
30,72,5500,2000,300,0.3460,5873,444119.0000,75.6205,64.0000,31.2138,192360.5800,32.7534,20.2400,32.0157,12319296.4928,22279.0000,3.7935,5873,1932496355.9190,616375659.9802,793576.9166,27.1628,81.6428,5.0150,72.3904,114.7621,32.9831,4854.0000,723.0000,296.0000,7796,5985,0.7677,1,4715.4750,18.1016,12.7384,5411.0500,16.6751,13.2388,5387.6500,13.7041,16.3202,15.7056,775.0000
31,73,4500,1700,300,0.0349,5664,376413.0000,66.4571,58.0000,26.6743,138535.2100,24.4589,14.0600,27.5760,7694757.2727,20262.0000,3.5773,5664,1732112096.5398,552461981.1520,707657.3795,18.7886,57.8233,3.7757,63.7598,90.2828,31.5219,4430.0000,937.0000,297.0000,6497,5757,0.8861,1,4292.0250,14.8169,13.9950,5186.1750,16.4475,13.2589,5196.5750,13.0046,16.6582,13.1411,664.0000
32,74,5500,1800,500,0.4471,6100,441031.0000,72.3002,62.0000,31.7373,183546.8000,30.0896,17.5550,31.9319,11741661.0656,22653.0000,3.7136,6100,1937262985.9452,617895900.3306,794550.8229,26.1000,67.4614,5.3265,71.3624,100.2867,34.0101,4768.0000,837.0000,495.0000,7795,6212,0.7969,4,4649.9750,18.2077,13.2524,5436.0000,16.7103,13.2925,5414.5500,13.5661,16.7431,14.2156,695.0000
33,75,6500,1900,100,0.8894,5860,452355.0000,77.1937,64.0000,32.6609,198303.7500,33.8402,19.1200,33.9980,13482853.3151,26405.0000,4.5060,5860,1961395411.0212,625593454.2012,805497.5381,27.5408,80.6517,4.4961,72.6530,114.0190,33.0606,5023.0000,738.0000,99.0000,8494,5999,0.7063,2,4894.0500,18.9612,13.4159,5602.6750,16.4807,13.4717,5580.4750,13.9700,17.1020,15.4200,678.0000
34,76,5500,1500,500,0.2329,6074,429281.0000,70.6752,62.0000,31.2772,172849.8700,28.4573,17.6450,31.8016,11060709.5965,24864.0000,4.0935,6074,1917080610.2814,611458394.0371,785663.7758,23.3489,72.5360,5.4460,68.6579,105.1467,33.6283,4768.0000,811.0000,495.0000,7498,6175,0.8236,0,4627.7750,17.0860,13.4253,5407.4000,16.4599,13.3636,5382.5250,13.5048,16.7671,14.7394,1017.0000
35,77,4500,1900,300,0.8441,5739,360646.0000,62.8413,56.0000,22.9615,120257.5700,20.9544,12.2500,23.8383,5780643.0889,17230.0000,3.0023,5739,1695278480.7247,540713314.4770,690094.3637,15.4891,49.7646,3.5399,60.4430,82.4024,31.5403,4422.0000,1019.0000,298.0000,6696,5842,0.8725,0,4291.6250,13.4248,14.4348,5303.6250,16.0065,13.5533,5261.4500,12.7794,17.1216,12.4139,446.0000
36,78,6000,1900,100,0.6927,5800,458640.0000,79.0759,65.0000,33.3390,206110.3800,35.5363,20.8750,34.9409,14404217.1736,28272.0000,4.8745,5800,1965321165.4277,626845841.4174,807858.3843,28.7228,89.7910,4.7358,73.9809,122.9694,33.0202,5015.0000,686.0000,99.0000,7998,5925,0.7408,2,4879.1500,18.8564,13.2605,5530.2000,17.4366,13.3601,5512.6000,13.7810,16.9222,16.1653,841.0000
37,79,6500,1800,100,0.4118,5745,466260.0000,81.1593,65.0000,34.3621,216413.9800,37.6700,21.2900,35.7286,15484705.4216,27553.0000,4.7960,5745,1976985515.3055,630566597.4797,813768.4473,31.1295,89.9737,5.3037,76.3231,123.2375,33.7778,4964.0000,682.0000,99.0000,8395,5886,0.7011,4,4824.3000,19.7796,13.1264,5480.4250,17.2021,13.2913,5439.5750,13.8256,16.5227,16.0989,641.0000
38,80,6000,2000,500,0.9295,6170,426093.0000,69.0588,60.0000,28.7937,165737.3600,26.8618,16.2500,29.1465,9692668.2352,22405.0000,3.6313,6170,1912778385.1028,610086032.6523,782940.0875,22.5799,61.9236,5.0189,67.9561,94.6816,33.4717,4784.0000,892.0000,494.0000,8492,6286,0.7402,3,4647.6250,17.0823,13.7727,5506.9000,16.9664,13.6131,5481.6250,13.4747,17.0249,13.8075,756.0000
39,81,6000,2000,100,0.3607,5738,466432.0000,81.2883,67.0000,33.5238,216314.5100,37.6986,22.6750,35.2111,15267609.9649,25478.0000,4.4402,5738,1969627630.5959,628219515.7939,810206.2891,30.9744,95.2954,4.8910,76.2126,128.3859,33.1111,4999.0000,640.0000,99.0000,8094,5858,0.7237,1,4850.1000,19.4176,12.8614,5471.5750,16.8927,13.2559,5455.6250,14.0210,16.2429,16.6072,807.0000
40,82,6500,1800,300,0.1075,5819,471362.0000,81.0040,67.0000,36.7185,222049.9600,38.1595,22.8000,37.2130,16530126.2930,30218.0000,5.1930,5819,1976887836.0468,630535747.6097,814584.7606,33.1951,82.3656,5.5371,78.4997,115.3528,33.8547,4769.0000,754.0000,296.0000,8592,5933,0.6905,2,4618.6000,19.4206,12.8364,5350.3000,17.0843,13.0930,5334.5750,13.6546,16.3462,15.1131,842.0000
41,83,6000,1500,100,0.3053,5685,470860.0000,82.8250,70.0000,34.0294,223085.8900,39.2411,25.4000,35.3552,15859098.2087,27195.0000,4.7836,5685,1972981128.7683,629289542.9088,812571.8665,33.0460,89.9884,5.1567,78.3515,123.1004,33.7475,4919.0000,667.0000,99.0000,7595,5816,0.7658,2,4778.1500,19.8015,12.6200,5427.2250,16.9042,13.3135,5401.6000,13.8415,16.5485,16.0025,854.0000
42,84,5500,1900,300,0.5440,5954,446138.0000,74.9308,63.0000,33.2785,190333.7700,31.9674,18.7250,34.1808,13039523.8455,26114.0000,4.3860,5954,1944145510.7804,620091381.1614,798029.4918,26.1302,79.3884,4.7130,71.5349,112.4935,33.1481,4885.0000,772.0000,297.0000,7697,6105,0.7932,2,4762.4000,18.6685,13.1240,5507.9750,17.1788,13.5432,5463.4500,13.9057,16.5809,15.3458,918.0000
43,85,5500,1900,300,0.8394,5996,460070.0000,76.7295,63.0000,35.4617,203213.3900,33.8915,18.5500,36.1856,14737060.3567,31660.0000,5.2802,5996,1982222424.0151,632236775.5998,814783.0253,28.4122,79.4336,4.8637,73.7200,112.2548,33.1448,4918.0000,781.0000,297.0000,7696,6116,0.7947,3,4776.1000,19.2112,13.5093,5545.7000,17.5807,13.5930,5516.5750,13.6792,17.0363,15.4869,959.0000
44,86,6000,1900,100,0.8565,5856,447493.0000,76.4162,63.0000,31.7233,191452.9400,32.6935,18.8800,33.2841,12745594.0998,29086.0000,4.9669,5856,1951506273.9216,622439279.1255,800663.4456,25.7509,85.5470,4.3394,71.2304,119.0000,32.5816,5043.0000,715.0000,98.0000,7993,5967,0.7465,4,4900.3500,18.6776,13.4705,5576.2000,17.2575,13.5580,5561.6500,13.9891,16.9878,15.8917,561.0000
45,87,6000,1600,100,0.2806,5710,457947.0000,80.2009,68.0000,33.2340,209283.9800,36.6522,23.3750,34.7404,14560867.3792,25896.0000,4.5352,5710,1948726359.9983,621552859.5806,801342.8094,29.9434,89.1345,4.9387,75.2645,122.1901,33.3939,4922.0000,689.0000,99.0000,7697,5863,0.7617,3,4777.6250,18.9483,12.9111,5446.8500,17.3429,13.2217,5416.5250,13.9158,16.3806,15.8086,771.0000
46,88,4500,2000,100,0.1478,5463,366637.0000,67.1128,58.0000,25.9118,134619.8200,24.6421,14.9100,27.2561,7375018.9820,16445.0000,3.0103,5463,1703584953.9550,543363022.6323,695939.2342,18.6093,55.3679,3.6032,63.5078,87.9114,31.4646,4427.0000,937.0000,99.0000,6596,5556,0.8423,2,4293.6500,15.2625,13.9682,5206.7500,16.2291,13.0523,5186.3750,12.8340,16.6540,13.1481,593.0000
47,89,5000,1900,100,0.8532,5788,407752.0000,70.4478,59.0000,29.7254,157471.0200,27.2065,15.4550,31.4976,10025512.2300,25336.0000,4.3773,5788,1856230293.5344,592050039.6651,758969.1757,20.0095,76.1195,3.7994,65.1482,109.2257,31.7172,4918.0000,771.0000,99.0000,6996,5883,0.8409,4,4763.9500,16.8215,14.0028,5530.3250,16.8727,13.6840,5489.5750,13.4486,17.1262,15.1844,825.0000
48,90,6000,1700,100,0.0828,5678,458467.0000,80.7445,69.0000,32.2120,211209.8000,37.1979,24.5050,33.6790,14295831.0192,23952.0000,4.2184,5678,1950466567.6528,622107933.2818,802700.8892,30.9925,84.8242,5.1795,76.3547,117.8989,33.5354,4877.0000,702.0000,99.0000,7798,5830,0.7476,2,4727.9500,19.1012,12.8406,5415.8000,16.9382,12.9473,5386.5500,13.9599,16.3510,15.7303,664.0000
49,91,6000,1700,300,0.3732,5921,448815.0000,75.8005,65.0000,30.4000,194724.3800,32.8871,20.6000,31.3031,12204822.2602,22441.0000,3.7901,5921,1952573056.7461,622779149.0251,801748.5332,27.3891,81.5875,5.1666,72.6453,114.5374,33.5777,4903.0000,722.0000,296.0000,7996,6060,0.7579,3,4759.7250,18.8098,13.0408,5446.7750,16.9640,13.2179,5434.6250,13.9063,16.4711,15.5594,583.0000
