episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
12,54,5500,2000,500,0.7193,6132,422411.0000,68.8863,60.0000,28.4125,163737.6400,26.7022,15.6650,28.6904,9418821.3956,21796.0000,3.5545,6132,1900656783.8539,606219810.8884,777779.7751,22.1475,64.7539,4.7703,67.4708,97.5554,32.8502,4781.0000,857.0000,494.0000,7997,6229,0.7789,2,4638.9500,16.0705,13.9847,5476.0500,16.6000,13.4111,5445.5500,13.6018,16.9591,13.9956,491.0000
13,55,6000,2000,300,0.5398,5994,427284.0000,71.2853,62.0000,29.0441,170612.4700,28.4639,17.1200,30.0552,10269853.8283,22096.0000,3.6864,5994,1919270574.2437,612156819.4304,786071.3911,22.7548,73.9661,4.7994,67.9279,107.3329,33.1419,4926.0000,772.0000,296.0000,8295,6110,0.7366,2,4781.6250,17.3514,13.6746,5535.0250,16.5924,13.5348,5508.5250,13.7530,16.9945,14.9744,606.0000
14,56,5500,1500,300,0.9827,6041,424219.0000,70.2233,61.0000,26.0898,165177.6700,27.3428,16.8300,26.9821,8913723.4981,18012.0000,2.9816,6041,1910227428.2959,609272129.9208,781291.9419,22.4368,64.8847,4.2525,67.8236,97.9976,32.6993,4920.0000,825.0000,296.0000,7296,6156,0.8438,2,4769.2000,17.3560,13.5298,5583.5250,16.5711,13.1901,5545.6250,13.7720,17.2872,14.2233,343.0000
15,57,6500,1400,300,0.5164,5948,427435.0000,71.8620,62.0000,29.1025,172617.3400,29.0211,17.6900,30.1894,10429638.7168,23970.0000,4.0299,5948,1907018598.9232,608249090.7417,781148.8088,23.2949,74.9216,4.8209,68.6131,107.7245,32.8047,4885.0000,766.0000,297.0000,8197,6086,0.7425,3,4765.0500,17.2210,13.9343,5498.0500,17.1558,13.6290,5439.6500,13.7291,16.7128,14.9992,783.0000
16,58,6500,2000,500,0.4206,6077,426555.0000,70.1917,62.0000,30.6073,169288.0300,27.8572,17.8000,31.2021,10631320.9165,25417.0000,4.1825,6077,1908546299.7199,608736210.6725,781901.2210,22.7111,73.2822,5.1786,68.0434,106.1848,33.5455,4792.0000,790.0000,495.0000,8996,6184,0.6874,5,4652.6500,15.8531,13.6502,5419.8750,16.3983,13.4371,5384.6000,13.5446,16.8217,15.0544,981.0000
17,59,6000,1800,500,0.5353,6112,421829.0000,69.0165,61.0000,27.1809,164482.4400,26.9114,17.2450,27.5991,9081257.7618,18086.0000,2.9591,6112,1892918596.9500,603751468.7439,774390.1785,22.3887,64.3528,5.0712,67.6045,97.2596,33.3374,4754.0000,863.0000,495.0000,8297,6228,0.7506,2,4624.7000,16.2287,13.5959,5457.6250,16.6341,13.2032,5428.6250,13.6298,16.7692,14.0622,395.0000
18,60,6500,1900,100,0.3921,5770,441753.0000,76.5603,64.0000,31.9087,190655.1700,33.0425,19.3300,33.4666,12761080.4719,23309.0000,4.0397,5770,1926384758.4909,614426432.1951,790567.5107,26.3415,85.4681,4.8022,71.6256,118.3841,33.3434,4981.0000,690.0000,99.0000,8497,5894,0.6937,3,4835.4750,18.5182,13.1667,5487.4750,16.5521,13.4664,5484.5750,14.0902,16.5111,15.8917,682.0000
19,61,5500,1800,100,0.6292,5846,462088.0000,79.0434,67.0000,31.3761,207008.5700,35.4103,22.5800,32.6546,13562881.9579,21221.0000,3.6300,5846,1976491008.7122,630408131.2161,811852.2347,29.2836,84.6493,4.6249,74.6157,118.1129,32.4747,5056.0000,691.0000,99.0000,7397,5960,0.8057,8,4919.4250,19.7258,12.9490,5568.9000,16.8197,13.2149,5559.6000,14.0154,16.7582,15.9756,365.0000
20,62,5000,2000,500,0.1783,6037,432248.0000,71.5998,64.0000,26.7391,176941.7000,29.3095,19.4600,27.1480,9634697.1122,19917.0000,3.2992,6037,1910292785.2957,609293258.1842,783192.3412,24.8839,68.8520,5.5393,70.2885,101.8109,33.6700,4718.0000,825.0000,494.0000,7498,6180,0.8242,4,4595.4750,17.1197,13.0918,5378.8250,16.7703,13.1453,5362.4500,13.6528,16.3897,14.2342,298.0000
21,63,4500,1900,500,0.6090,5990,377134.0000,62.9606,58.0000,20.5011,129643.3900,21.6433,14.1900,20.5802,5342509.1773,11560.0000,1.9299,5990,1751040579.4173,558498495.5697,713725.6200,17.9330,44.7106,4.1908,62.9048,77.2869,32.0848,4411.0000,1084.0000,495.0000,6896,6103,0.8850,5,4293.4750,13.7373,14.0487,5323.4000,16.3778,13.0017,5311.5250,13.2837,16.6895,11.4269,185.0000
22,64,6000,1700,500,0.6499,6116,433601.0000,70.8962,62.0000,28.5883,175266.1700,28.6570,17.8600,28.9038,10131262.7973,20889.0000,3.4155,6116,1923061560.5547,613365835.3987,787969.7925,24.3147,67.7976,5.1040,69.6009,100.7708,33.3300,4793.0000,829.0000,494.0000,8198,6220,0.7587,2,4646.6250,17.5685,13.3330,5450.3000,16.4227,13.4521,5422.6250,13.4083,16.9411,14.3931,524.0000
23,65,6500,1500,300,0.2688,5875,442614.0000,75.3386,65.0000,27.9360,190654.8200,32.4519,21.0200,28.5484,10974481.9554,18599.0000,3.1658,5875,1934059553.7073,616874045.4445,794304.7521,28.0325,70.0932,5.2738,73.4054,103.2147,33.5589,4800.0000,778.0000,297.0000,8299,5984,0.7211,6,4658.5250,17.4886,13.1042,5412.0000,16.4330,13.0386,5407.6250,13.7432,16.5158,14.2564,255.0000
24,66,6500,1800,300,0.1354,5892,430649.0000,73.0905,63.0000,29.0242,178396.7800,30.2778,19.3300,30.0826,10732595.1250,22414.0000,3.8041,5892,1909305726.6794,608978639.5395,782776.9398,24.6697,76.4400,4.6692,69.8907,109.5843,32.7306,4842.0000,753.0000,297.0000,8593,6006,0.6989,1,4708.8250,17.6099,13.2811,5439.1000,16.6666,13.1069,5405.3500,13.7659,16.4294,14.9850,511.0000
25,67,5000,1400,100,0.0443,5636,465343.0000,82.5662,68.0000,33.9777,220115.3400,39.0552,23.9900,35.2584,15601844.5836,22206.0000,3.9400,5636,1945533718.7388,620534732.7004,800835.2118,33.2000,86.2975,5.2993,78.4645,119.4993,32.5510,4865.0000,673.0000,98.0000,6499,5764,0.8869,4,4731.5500,19.2602,12.6475,5368.9250,16.8643,12.7641,5350.6750,14.0680,16.2318,15.8822,588.0000
26,68,6500,1800,500,0.3640,6037,425687.0000,70.5130,62.0000,28.2819,170298.4200,28.2091,17.6200,28.5466,9722767.7042,20022.0000,3.3165,6037,1896878373.8960,605014690.2335,777126.4288,23.8907,65.7937,5.5826,69.3024,98.9535,33.7976,4705.0000,838.0000,494.0000,8796,6151,0.6993,3,4572.1250,16.8409,13.4939,5374.5250,16.9217,13.1804,5347.5500,13.5236,16.4926,14.3164,650.0000
27,69,5500,1900,300,0.8240,6003,426110.0000,70.9828,61.0000,30.7710,168579.4400,28.0825,16.1400,31.7717,10792795.1216,21893.0000,3.6470,6003,1902625182.6926,606847738.3937,778396.5910,22.4421,73.4604,4.5210,67.7183,106.7943,32.6566,4938.0000,768.0000,297.0000,7698,6146,0.7984,3,4805.9500,17.3213,13.6368,5547.4500,16.8798,13.3269,5521.4750,13.7421,16.9897,15.0892,696.0000
28,70,6000,1800,100,0.4019,5776,447425.0000,77.4628,65.0000,30.0531,194795.2000,33.7249,20.3200,31.6200,12343450.4120,20468.0000,3.5436,5776,1939835142.2823,618716374.3260,795955.5770,27.0859,89.7200,4.4607,72.4072,123.5293,32.7475,5029.0000,648.0000,99.0000,7898,5880,0.7445,3,4891.0000,18.6838,13.1092,5490.3000,16.7148,13.2348,5480.6250,14.2621,16.4302,16.1319,342.0000
29,71,4500,1700,100,0.6879,5545,359213.0000,64.7814,57.0000,22.2304,124332.7700,22.4225,13.9300,23.4435,5834810.1493,15239.0000,2.7482,5545,1679628386.2628,535721742.5443,684337.4951,17.0692,46.8390,3.5729,62.0745,79.3580,31.7778,4404.0000,1042.0000,99.0000,6297,5664,0.8995,1,4300.2250,14.2644,14.2872,5284.0000,15.9174,13.2307,5266.4000,13.0140,16.7341,11.6269,265.0000
