Wall time,Step,Value
1753289228.8239355,4500,-5.299574375152588
1753289521.5790884,9000,-1.4362074136734009
1753289800.7003558,13500,-4.369452953338623
1753290078.9059622,18000,-6.173985958099365
1753290354.8373396,22500,-2.205434799194336
1753290629.8385832,27000,-3.609297752380371
1753290904.3090928,31500,-0.9507627487182617
1753291180.6659694,36000,-4.211508750915527
1753291464.2982066,40500,-4.017090320587158
1753291745.449938,45000,2.0318002700805664
1753292027.426858,49500,-3.4381749629974365
1753292310.629907,54000,-1.3367077112197876
1753292589.0026834,58500,-2.0308754444122314
1753292868.624786,63000,0.472934365272522
1753293150.423362,67500,-1.9596730470657349
1753293434.9410708,72000,-2.455503225326538
1753293720.0691366,76500,1.322371482849121
1753293996.5715287,81000,4.5135297775268555
1753294260.1157277,85500,8.232789039611816
1753294536.4595644,90000,1.8146896362304688
1753294815.7886572,94500,6.014553070068359
1753295097.2971115,99000,3.9715449810028076
1753295381.5409243,103500,-1.7318254709243774
1753295661.9916885,108000,4.651448726654053
1753295939.9915993,112500,0.9701659083366394
1753296216.2623916,117000,2.509406805038452
1753296501.8488889,121500,4.625687122344971
1753296765.1237555,126000,6.753693580627441
1753297036.8286617,130500,6.355344772338867
1753297297.9281538,135000,5.405198574066162
1753297565.2478552,139500,5.837070941925049
1753297836.9890666,144000,5.389404773712158
1753298100.5495012,148500,8.227405548095703
1753298369.1168976,153000,2.8726022243499756
1753298634.8602014,157500,8.922858238220215
1753298903.600519,162000,2.961214065551758
1753299171.0328412,166500,2.186553716659546
1753299435.1580422,171000,10.277423858642578
1753299701.3979428,175500,6.828648567199707
1753299959.8213193,180000,13.891515731811523
1753300232.6962981,184500,6.486182689666748
1753300506.432058,189000,9.562814712524414
1753300779.172621,193500,10.950803756713867
1753301058.493574,198000,5.322465896606445
1753301328.2882202,202500,6.974722862243652
1753301605.1566505,207000,4.712408065795898
1753301876.7708325,211500,3.949230909347534
1753302142.1163344,216000,6.502407550811768
1753302398.911647,220500,8.804200172424316
1753302659.6377046,225000,8.984070777893066
1753302916.720295,229500,7.714123725891113
1753303198.1519985,234000,12.903457641601562
1753303469.973232,238500,7.20611572265625
1753303742.2567782,243000,7.757275581359863
1753304013.7700088,247500,3.3985812664031982
1753304284.6988046,252000,8.231115341186523
1753304546.9723754,256500,15.644271850585938
1753304823.4557962,261000,10.376052856445312
1753305082.7894118,265500,13.207016944885254
1753305336.6387773,270000,14.421740531921387
1753305593.56855,274500,9.290884971618652
